,lon,lat,alt,L,B,MLT,losscone1,losscone2,pitch,SAA,att,counts,event_id,Beq
1998-05-11 10:23:50.720,-85.556,-56.079,692.983,2.085,0.291,5.134,58.904,58.904,89.68,0,0,296.0,0,0.0332
1998-05-11 10:23:51.220,-85.544,-56.108,693.0,2.086,0.291,5.135,58.904,58.904,89.693,0,1,488.0,0,0.0331
1998-05-11 10:23:51.480,-85.537,-56.124,693.009,2.087,0.291,5.135,58.903,58.903,89.679,0,1,528.0,0,0.033
1998-05-11 10:23:51.720,-85.531,-56.138,693.017,2.088,0.291,5.136,58.903,58.903,89.666,0,1,392.0,0,0.033
1998-05-11 10:23:52.200,-85.52,-56.166,693.034,2.09,0.291,5.137,58.903,58.903,89.641,0,1,328.0,0,0.0329
1998-09-01 20:51:55.020,46.355,-38.496,606.724,2.299,0.272,23.23,64.488,64.488,103.687,0,1,1312.0,1,0.0255
1998-09-01 20:51:55.520,46.36,-38.465,606.667,2.297,0.272,23.231,64.49,64.49,103.647,0,1,1248.0,1,0.0255
1998-09-01 20:51:56.300,46.368,-38.418,606.579,2.294,0.272,23.234,64.494,64.494,103.585,0,1,1184.0,1,0.0257
1998-10-03 18:30:45.740,18.056,-31.214,525.09,1.855,0.225,19.338,69.391,69.391,88.029,1,0,880.0,2,0.0483
1998-10-03 18:30:45.940,18.057,-31.202,525.091,1.855,0.225,19.339,69.389,69.389,88.046,1,0,848.0,2,0.0484
1998-10-03 18:30:46.120,18.059,-31.191,525.091,1.854,0.225,19.339,69.386,69.386,88.042,1,0,816.0,2,0.0484
1998-10-06 05:32:02.120,39.189,-37.238,592.956,2.187,0.252,7.6,66.106,66.106,88.552,1,0,624.0,3,0.0296
1998-10-06 05:32:02.440,39.192,-37.258,592.936,2.188,0.252,7.599,66.105,66.105,88.581,1,0,656.0,3,0.0295
1998-10-06 05:32:02.760,39.196,-37.277,592.917,2.189,0.252,7.599,66.103,66.103,88.61,1,0,720.0,3,0.0295
1998-10-13 04:46:42.840,35.188,-32.296,567.1,1.91,0.241,6.753,67.667,67.667,88.215,1,0,156.0,4,0.0442
1998-10-16 10:03:44.420,-45.476,-51.181,543.656,1.933,0.235,6.953,64.996,64.996,88.523,1,0,2112.0,5,0.0428
1998-10-20 10:34:50.560,-59.485,-55.86,534.511,2.039,0.266,6.925,63.799,63.799,88.34,0,0,360.0,6,0.036
1998-11-12 06:58:26.160,-53.364,-53.031,562.052,1.943,0.245,3.615,63.676,63.676,89.565,1,0,440.0,7,0.0417
