,t,w,s,s_err
0,1998-05-11 10:23:50.720,"[0.0471, 0.0353, 0.0361, 0.05, 0.1026]","[0.253767, 0.249177, 0.24196, 0.252274]","[0.0025, 0.0021, 0.0038, 0.0077]"
1,1998-09-01 20:51:55.020,[],[],[]
2,1998-10-03 18:30:45.740,"[0.0505, 0.0594]",[0.191902],[0.0045]
3,1998-10-06 05:32:02.120,[],[],[]
4,1998-10-13 04:46:42.840,[],[],[]
5,1998-10-16 10:03:44.420,[],[],[]
6,1998-10-20 10:34:50.560,[],[],[]
7,1998-11-12 06:58:26.160,"[0.0631, 0.0573, 0.0499, 0.0409, 0.0442, 0.0576, 0.076]","[0.231074, 0.231851, 0.217306, 0.222488, 0.221023, 0.217841]","[0.0051, 0.0027, 0.0026, 0.0032, 0.0036, 0.0039]"
8,1998-11-19 23:50:39.560,"[0.062, 0.0633, 0.0658]","[0.267994, 0.26369]","[0.0042, 0.0054]"
9,1998-11-24 22:50:32.260,[],[],[]
10,1998-11-30 21:56:53.680,[],[],[]
11,1998-12-20 19:31:02.260,"[0.0802, 0.0966]",[0.250012],[0.0044]
12,1998-12-25 18:28:50.460,[],[],[]
13,1999-01-06 16:41:06.320,"[0.0477, 0.0573, 0.0663]","[0.244646, 0.224402]","[0.0021, 0.0051]"
14,1999-01-15 08:31:41.720,"[0.0722, 0.0576, 0.0516]","[0.182457, 0.164349]","[0.0043, 0.0035]"
15,1999-01-16 08:37:03.800,"[0.0576, 0.0603, 0.0551, 0.0805, 0.0918]","[0.198589, 0.20438, 0.219906, 0.200104]","[0.0037, 0.0018, 0.006, 0.0071]"
16,1999-02-01 00:54:24.900,[],[],[]
17,1999-02-02 01:00:20.880,[],[],[]
18,1999-02-18 05:58:08.760,[],[],[]
19,1999-03-02 02:31:01.960,[],[],[]
20,1999-03-16 00:49:01.940,[],[],[]
21,1999-03-29 16:46:25.120,[],[],[]
22,1999-03-30 18:28:16.160,[],[],[]
23,1999-08-30 20:50:08.560,"[0.0551, 0.0567, 0.038, 0.0353, 0.0757]","[0.252191, 0.24078, 0.243076, 0.250462]","[0.0049, 0.0025, 0.0032, 0.0036]"
24,1999-09-29 21:47:54.700,"[0.0601, 0.0409, 0.0358, 0.0353, 0.0425, 0.0468, 0.0561]","[0.225301, 0.22624, 0.225259, 0.222063, 0.216485, 0.216205]","[0.0022, 0.0019, 0.0011, 0.0021, 0.0032, 0.0029]"
25,1999-10-01 10:25:26.260,"[0.0422, 0.0881]",[0.256267],[0.0048]
26,1999-10-05 04:15:42.840,[],[],[]
27,1999-10-11 11:17:30.380,"[0.0403, 0.0375, 0.0596]","[0.241045, 0.233339]","[0.0033, 0.0015]"
28,1999-10-21 08:56:04.120,"[0.0353, 0.0353]",[0.226191],[0.0028]
29,1999-10-21 08:56:30.160,"[0.0401, 0.036, 0.0353, 0.0412]","[0.254359, 0.244014, 0.242009]","[0.0014, 0.0022, 0.0023]"
30,1999-10-27 07:50:14.340,[],[],[]
31,1999-11-08 23:11:59.380,[],[],[]
32,1999-11-08 23:13:00.240,"[0.07, 0.0521, 0.0607, 0.0353]","[0.303232, 0.293683, 0.303052]","[0.0045, 0.0051, 0.0036]"
33,1999-11-11 05:51:51.440,[],[],[]
34,1999-12-10 19:10:24.020,[],[],[]
35,1999-12-11 06:55:20.620,[],[],[]
36,1999-12-11 11:36:34.140,"[0.0569, 0.1027]",[0.267916],[0.0082]
37,2000-01-13 05:51:13.400,"[0.0951, 0.0572, 0.0557, 0.077]","[0.247778, 0.247214, 0.236492]","[0.0042, 0.008, 0.0066]"
38,2000-01-13 05:51:51.060,[],[],[]
39,2000-01-17 01:21:33.520,"[0.1157, 0.1112, 0.0869, 0.0902, 0.1102, 0.1442, 0.1268]","[0.256798, 0.255846, 0.250588, 0.250675, 0.227266, 0.258109]","[0.0042, 0.0036, 0.0038, 0.0046, 0.0145, 0.0092]"
40,2000-04-07 03:35:39.360,[],[],[]
41,2000-04-18 09:00:28.460,"[0.0686, 0.067, 0.0721, 0.0508, 0.0665, 0.0732]","[0.265103, 0.270505, 0.272613, 0.267173, 0.259413]","[0.0046, 0.0021, 0.0022, 0.0032, 0.0055]"
42,2000-04-27 07:44:24.520,[],[],[]
43,2000-05-31 19:57:35.040,"[0.0521, 0.0743]",[0.258483],[0.0063]
44,2000-06-08 18:32:36.820,[],[],[]
45,2000-06-14 04:47:31.740,[],[],[]
46,2000-07-18 00:46:27.860,"[0.0603, 0.0461, 0.0547, 0.0434, 0.064, 0.0353]","[0.227714, 0.211523, 0.213789, 0.207063, 0.20975]","[0.0032, 0.0049, 0.0015, 0.0056, 0.0033]"
47,2000-07-25 07:36:56.680,"[0.1027, 0.0447]",[0.270629],[0.0033]
48,2000-07-27 07:38:22.480,[],[],[]
49,2000-07-27 07:38:37.640,"[0.15, 0.0353]",[0.485318],[0.0027]
50,2000-08-18 18:48:59.080,[],[],[]
51,2000-08-18 18:49:51.000,[],[],[]
52,2000-08-22 03:11:49.980,[],[],[]
53,2000-08-26 07:13:51.780,"[0.0523, 0.054, 0.0534, 0.0353]","[0.252099, 0.231469, 0.243099]","[0.0037, 0.003, 0.0033]"
54,2000-08-30 01:15:42.240,[],[],[]
55,2000-09-06 17:25:11.800,"[0.0353, 0.0353]",[0.204403],[0.0043]
56,2000-09-10 22:08:19.780,[],[],[]
57,2000-09-10 22:08:38.820,"[0.0944, 0.0766]",[0.256597],[0.0013]
58,2000-09-13 05:44:08.380,"[0.0376, 0.0626, 0.0429, 0.0434, 0.042, 0.0442, 0.0465]","[0.180317, 0.187747, 0.182297, 0.178187, 0.174494, 0.181739]","[0.0044, 0.0032, 0.0039, 0.0022, 0.0026, 0.004]"
59,2000-09-15 04:09:40.120,"[0.0428, 0.0353, 0.0395, 0.0353, 0.0353]","[0.209049, 0.209149, 0.211162, 0.21983]","[0.0024, 0.0009, 0.0017, 0.0028]"
60,2000-09-17 15:53:48.620,[],[],[]
61,2000-09-21 04:12:42.580,"[0.1142, 0.1041, 0.0723, 0.0656, 0.0646, 0.0915]","[0.266103, 0.256741, 0.252552, 0.242757, 0.2477]","[0.0056, 0.0043, 0.0036, 0.0047, 0.0034]"
62,2000-09-22 12:18:10.980,[],[],[]
63,2000-09-24 10:43:29.000,"[0.0537, 0.0989]",[0.272543],[0.0096]
64,2000-09-30 10:43:54.920,[],[],[]
65,2000-10-05 10:44:42.420,[],[],[]
66,2000-10-09 01:04:35.820,[],[],[]
67,2000-10-10 01:05:24.720,[],[],[]
68,2000-10-10 01:05:27.740,[],[],[]
69,2000-10-10 01:06:11.640,[],[],[]
70,2000-10-21 05:57:25.020,"[0.0712, 0.1168, 0.0878]","[0.26859, 0.277692]","[0.0037, 0.0049]"
71,2000-10-22 05:57:06.520,"[0.0488, 0.0483, 0.0353]","[0.246689, 0.24161]","[0.0034, 0.0036]"
72,2000-10-24 07:32:55.960,[],[],[]
73,2000-10-27 05:56:00.100,[],[],[]
74,2000-11-21 19:53:28.240,[],[],[]
75,2000-12-01 22:57:14.740,[],[],[]
76,2000-12-05 18:01:09.500,"[0.0698, 0.0798]",[0.304792],[0.0059]
77,2000-12-08 17:54:39.440,"[0.0462, 0.0462, 0.0423, 0.0441]","[0.203555, 0.203965, 0.199857]","[0.0018, 0.0036, 0.004]"
78,2000-12-08 17:55:24.480,"[0.089, 0.0828, 0.0809, 0.0683, 0.0785]","[0.233476, 0.243309, 0.229036, 0.233335]","[0.0044, 0.0036, 0.004, 0.007]"
79,2000-12-17 16:06:48.420,[],[],[]
