,lon,lat,alt,L,B,MLT,losscone1,losscone2,pitch,SAA,att,counts
1997-02-28 03:48:06.360,-9.466,-21.751,581.117,1.464,0.212,2.448,64.831,64.831,69.119,1,101,848.0
1997-02-28 03:48:31.720,-9.309,-20.186,578.385,1.431,0.213,2.495,64.659,64.659,101.909,1,101,656.0
1997-02-28 03:48:31.900,-9.308,-20.175,578.366,1.43,0.213,2.495,64.658,64.658,102.452,1,101,624.0
1997-02-28 03:48:35.300,-9.287,-19.965,578.002,1.427,0.213,2.502,64.634,64.634,111.226,1,101,376.0
1998-05-04 10:37:59.580,-93.904,37.738,546.238,2.478,0.414,4.124,62.872,68.608,66.889,0,100,4992.0
1998-05-04 10:37:59.640,-93.903,37.734,546.241,2.478,0.414,4.124,62.872,68.609,66.554,0,100,5248.0
1998-05-04 10:38:01.780,-93.881,37.601,546.369,2.465,0.414,4.128,62.86,68.639,55.088,0,100,2880.0
1998-05-05 11:12:35.340,-84.033,-58.976,687.624,2.277,0.301,6.053,59.065,59.065,159.706,0,100,236.0
1998-05-11 00:39:27.140,55.296,-37.734,676.363,2.308,0.292,3.732,61.749,61.749,88.333,0,0,4032.0
1998-05-11 00:39:30.240,55.327,-37.919,676.571,2.321,0.292,3.728,61.74,61.74,88.484,0,0,5504.0
1998-05-11 00:39:30.420,55.329,-37.93,676.583,2.322,0.292,3.728,61.74,61.74,88.492,0,0,5504.0
1998-05-11 10:23:50.720,-85.556,-56.079,692.983,2.085,0.291,5.134,58.904,58.904,89.68,0,0,296.0
1998-05-11 10:23:51.220,-85.544,-56.108,693.0,2.086,0.291,5.135,58.904,58.904,89.693,0,1,488.0
1998-05-11 10:23:51.480,-85.537,-56.124,693.009,2.087,0.291,5.135,58.903,58.903,89.679,0,1,528.0
1998-05-11 10:23:51.720,-85.531,-56.138,693.017,2.088,0.291,5.136,58.903,58.903,89.666,0,1,392.0
1998-05-11 10:23:52.200,-85.52,-56.166,693.034,2.09,0.291,5.137,58.903,58.903,89.641,0,1,328.0
1998-09-01 20:51:55.020,46.355,-38.496,606.724,2.299,0.272,23.23,64.488,64.488,103.687,0,1,1312.0
