,start,end
0,1996-08-21,1996-08-22 00:00:00.000
1,1997-02-21,1997-02-22 00:00:00.000
2,2000-01-03,2000-01-04 00:00:00.000
3,2004-10-08,2004-10-10 00:00:00.000
4,2004-10-31,2004-11-02 00:00:00.000
5,2004-11-10,2004-11-12 00:00:00.000
6,2004-12-21,2004-12-25 00:00:00.000
7,2004-12-31,2005-01-01 00:00:00.000
8,2005-03-10,2005-03-11 00:00:00.000
9,2005-07-10,2005-07-11 00:00:00.000
10,2005-07-26,2005-07-27 00:00:00.000
11,2005-08-06,2005-08-08 00:00:00.000
12,2005-09-05,2005-09-06 00:00:00.000
13,2005-11-09,2005-11-11 00:00:00.000
14,2005-12-10,2005-12-11 00:00:00.000
15,2005-12-16,2005-12-17 00:00:00.000
16,2005-12-20,2005-12-23 00:00:00.000
17,2006-01-06,2006-01-09 00:00:00.000
18,2006-01-13,2006-01-14 00:00:00.000
19,2006-01-16,2006-01-18 00:00:00.000
20,2006-01-27,2006-02-02 00:00:00.000
21,2006-02-05,2006-02-06 00:00:00.000
22,2006-04-11,2006-04-13 00:00:00.000
23,2006-04-24,2006-04-26 00:00:00.000
24,2006-05-01,2006-05-04 00:00:00.000
25,2006-05-17,2006-05-18 00:00:00.000
26,2006-06-14,2006-06-16 00:00:00.000
27,2006-08-09,2006-08-10 00:00:00.000
28,2006-09-07,2006-09-08 00:00:00.000
29,2006-09-29,2006-09-30 00:00:00.000
30,2006-10-31,2006-11-02 00:00:00.000
31,2006-11-08,2006-11-09 00:00:00.000
32,2006-11-30,2006-12-01 00:00:00.000
33,2006-12-22,2006-12-28 00:00:00.000
34,2007-01-19,2007-01-20 00:00:00.000
35,2007-02-16,2007-02-17 00:00:00.000
36,2007-03-15,2007-03-16 00:00:00.000
37,2007-04-08,2007-04-10 00:00:00.000
38,2007-04-12,2007-04-13 00:00:00.000
39,2007-04-17,2007-04-18 00:00:00.000
40,2007-06-22,2007-06-23 00:00:00.000
41,2007-06-26,2007-06-27 00:00:00.000
42,2007-07-19,2007-07-20 00:00:00.000
43,2007-08-13,2007-08-15 00:00:00.000
44,2007-08-16,2007-08-17 00:00:00.000
45,2007-08-18,2007-08-21 00:00:00.000
46,2007-08-23,2007-09-07 00:00:00.000
