,start,end
0,1996-08-16 15:37:24.920,1996-08-19 04:10:05.440
1,1996-08-26 10:38:05.500,1997-02-21 15:29:53.040
2,1997-02-22 01:43:12.340,1997-11-06 18:32:37.800
3,1997-11-17 20:00:38.680,1997-12-18 04:35:52.140
4,1998-01-16 01:10:18.700,1998-04-21 13:59:14.020
5,1998-04-28 18:28:59.100,1998-05-07 13:19:01.140
6,1999-12-18 20:53:47.540,1999-12-25 19:55:49.820
7,1999-12-29 00:01:43.700,2000-01-03 11:29:58.120
8,2000-01-03 12:03:55.120,2000-02-02 17:17:48.300
9,2007-09-27 12:21:26.980,2007-10-01 10:07:48.940
10,2007-10-01 10:08:58.900,2007-10-14 20:34:18.420
11,2007-10-17 05:29:54.200,2007-11-07 22:18:41.640
12,2007-11-10 00:20:34.060,2007-11-18 14:35:38.320
13,2007-11-20 00:01:14.120,2007-11-21 23:42:06.880
14,2007-11-23 00:09:34.280,2007-12-04 23:29:48.300
15,2007-12-05 20:35:26.980,2007-12-29 09:23:43.760
16,2008-01-01 00:12:18.460,2008-01-02 22:54:02.480
17,2008-01-08 00:48:14.920,2008-01-14 12:21:34.820
18,2008-01-14 12:56:24.120,2008-01-16 22:59:29.340
19,2008-01-17 01:18:30.880,2008-02-02 06:07:41.920
20,2008-02-02 06:08:15.240,2008-02-09 22:33:37.900
21,2008-02-12 00:42:51.860,2008-02-12 16:23:59.500
22,2008-02-12 16:24:09.100,2008-02-12 16:24:26.720
23,2008-02-12 16:24:38.240,2008-02-15 12:55:13.920
24,2008-02-15 13:07:25.620,2008-02-15 13:07:50.200
25,2008-02-15 14:29:41.540,2008-02-15 14:42:03.600
26,2008-02-15 14:42:13.480,2008-03-04 23:13:05.060
27,2008-03-07 00:03:47.720,2008-03-10 23:29:58.800
28,2008-03-11 05:12:51.640,2008-03-13 11:56:50.760
29,2008-03-16 00:35:12.720,2008-03-26 20:38:59.140
30,2008-03-26 20:51:55.140,2008-03-29 19:58:35.600
31,2008-03-29 21:32:16.520,2008-03-29 21:32:42.600
32,2008-03-29 22:04:59.780,2008-04-09 12:51:07.960
33,2008-04-09 12:51:33.440,2008-04-09 12:52:03.500
34,2008-04-09 12:53:30.820,2008-04-15 23:22:54.840
35,2008-04-18 01:24:36.300,2008-04-18 06:08:33.240
36,2008-04-19 00:14:44.080,2008-04-19 22:40:53.640
37,2008-04-22 17:16:01.360,2008-04-26 10:19:59.020
38,2008-04-30 03:23:22.620,2008-05-14 14:38:24.600
39,2008-05-17 01:29:35.980,2008-05-23 14:59:03.300
40,2008-05-23 16:32:29.140,2008-05-25 23:28:04.440
41,2008-05-26 04:55:23.040,2008-06-18 19:05:02.740
42,2008-06-21 03:54:25.820,2008-06-25 01:47:00.720
43,2008-06-25 03:19:21.620,2008-08-21 09:41:19.880
44,2008-08-21 10:14:30.080,2008-09-11 21:32:20.500
45,2008-09-12 17:33:20.860,2008-10-21 03:23:47.140
46,2008-10-23 11:29:23.780,2009-01-08 23:42:26.740
47,2009-01-10 03:37:10.180,2009-03-16 18:46:31.780
48,2009-03-23 00:43:00.780,2009-04-24 17:30:34.840
49,2009-05-06 17:42:13.020,2009-05-12 10:01:12.400
50,2009-05-19 04:25:22.860,2009-06-22 05:47:46.900
51,2009-06-30 05:12:20.220,2009-07-23 23:32:04.480
52,2009-07-26 12:50:02.300,2009-09-09 16:42:15.740
53,2009-09-14 02:33:47.060,2009-11-22 17:56:16.140
54,2009-11-26 10:39:28.340,2010-02-09 01:11:03.060
55,2010-02-21 23:06:52.940,2010-02-27 23:42:45.780
56,2010-03-04 03:50:24.360,2010-03-11 03:17:16.940
57,2010-03-11 03:30:01.040,2010-03-25 19:00:34.740
58,2010-03-28 04:43:19.040,2010-04-09 09:43:05.100
59,2010-04-10 18:16:07.820,2010-04-10 23:48:20.080
