,lon,lat,alt,L,B,MLT,losscone1,losscone2,pitch,SAA,att,counts,Beq
1998-05-11 10:23:50.720,-85.556,-56.079,692.983,2.085,0.291,5.134,58.904,58.904,89.68,0,0,296.0,0.033
1998-09-01 20:51:55.020,46.355,-38.496,606.724,2.299,0.272,23.23,64.488,64.488,103.687,0,1,1312.0,0.025
1998-10-03 18:30:45.740,18.056,-31.214,525.09,1.855,0.225,19.338,69.391,69.391,88.029,1,0,880.0,0.048
1998-10-06 05:32:02.120,39.189,-37.238,592.956,2.187,0.252,7.6,66.106,66.106,88.552,1,0,624.0,0.03
1998-10-13 04:46:42.840,35.188,-32.296,567.1,1.91,0.241,6.753,67.667,67.667,88.215,1,0,156.0,0.044
1998-10-16 10:03:44.420,-45.476,-51.181,543.656,1.933,0.235,6.953,64.996,64.996,88.523,1,0,2112.0,0.043
1998-10-20 10:34:50.560,-59.485,-55.86,534.511,2.039,0.266,6.925,63.799,63.799,88.34,0,0,360.0,0.036
1998-11-12 06:58:26.160,-53.364,-53.031,562.052,1.943,0.245,3.615,63.676,63.676,89.565,1,0,440.0,0.042
1998-11-19 23:50:39.560,33.264,-38.371,567.755,2.233,0.242,1.249,67.638,67.638,58.809,1,1,720.0,0.028
1998-11-24 22:50:32.260,37.969,-37.528,587.482,2.2,0.25,0.542,66.429,66.429,78.556,1,1,236.0,0.029
1998-11-30 21:56:53.680,38.519,-34.563,609.037,2.04,0.246,23.754,66.022,66.022,93.141,1,0,848.0,0.037
1998-12-20 19:31:02.260,34.401,-34.98,675.923,2.066,0.233,21.003,65.243,65.243,95.254,1,0,2880.0,0.035
1998-12-25 18:28:50.460,38.881,-30.488,677.61,1.846,0.239,20.398,64.48,64.48,91.935,1,0,3136.0,0.049
1999-01-06 16:41:06.320,41.941,-33.02,664.041,1.97,0.248,18.742,64.165,64.165,91.939,1,0,204.0,0.04
1999-01-15 08:31:41.720,-47.887,-46.836,529.38,1.735,0.222,5.064,65.786,65.786,85.689,1,0,3776.0,0.059
1999-01-16 08:37:03.800,-53.4,-52.733,533.013,1.925,0.246,4.918,64.504,64.504,84.017,1,0,656.0,0.043
1999-02-01 00:54:24.900,35.911,-32.75,549.554,1.93,0.244,2.224,67.969,67.969,91.642,1,0,312.0,0.043
1999-02-02 01:00:20.880,31.594,-36.345,550.656,2.112,0.238,1.942,68.486,68.486,91.524,1,0,1376.0,0.033
1999-02-18 05:58:08.760,-81.229,-53.502,602.544,1.896,0.281,0.844,61.228,61.228,118.529,0,1,312.0,0.044
1999-03-02 02:31:01.960,-51.444,-47.397,657.073,1.752,0.216,22.496,62.161,62.161,78.974,1,1,2752.0,0.057
1999-03-16 00:49:01.940,-56.447,-52.889,684.315,1.95,0.237,20.691,60.446,60.446,82.771,1,0,1056.0,0.041
1999-03-29 16:46:25.120,41.676,-34.383,641.636,2.035,0.251,18.776,64.669,64.669,88.893,1,0,328.0,0.037
1999-03-30 18:28:16.160,13.215,-37.955,642.997,2.148,0.213,18.575,67.456,67.456,88.004,1,0,1008.0,0.031
1999-08-30 20:50:08.560,25.087,-34.802,523.753,2.021,0.23,21.964,69.878,69.878,76.915,1,0,106.0,0.038
1999-09-29 21:47:54.700,-56.748,-54.189,616.495,1.998,0.248,18.006,61.935,61.935,86.989,1,0,424.0,0.038
1999-10-01 10:25:26.260,-45.591,-54.736,540.79,2.108,0.248,7.164,64.6,64.6,88.214,1,0,2368.0,0.033
1999-10-05 04:15:42.840,33.222,-35.519,527.588,2.065,0.242,5.955,68.85,68.85,88.448,1,0,296.0,0.035
1999-10-11 11:17:30.380,-79.122,-54.83,575.364,1.957,0.286,6.74,61.984,61.984,87.953,0,0,228.0,0.04
1999-10-21 08:56:04.120,-64.482,-53.842,616.221,1.934,0.255,5.082,61.516,61.516,87.616,0,0,560.0,0.042
1999-10-21 08:56:30.160,-63.894,-55.402,618.95,2.022,0.261,5.122,61.377,61.377,87.93,0,0,816.0,0.037
1999-10-27 07:50:14.340,-60.36,-53.517,640.021,1.948,0.247,4.174,61.19,61.19,88.77,1,0,560.0,0.041
1999-11-08 23:11:59.380,37.702,-34.686,653.722,2.049,0.241,1.077,65.12,65.12,70.461,1,1,188.0,0.036
1999-11-08 23:13:00.240,38.282,-38.344,658.226,2.268,0.246,1.013,64.628,64.628,71.536,1,1,114.0,0.027
1999-11-11 05:51:51.440,-61.948,-51.988,675.099,1.875,0.239,2.073,60.377,60.377,91.983,1,0,3392.0,0.046
1999-12-10 19:10:24.020,32.414,-32.517,621.688,1.936,0.232,20.704,66.803,66.803,88.515,1,0,312.0,0.043
1999-12-11 06:55:20.620,24.984,-29.868,514.254,1.801,0.231,8.391,69.624,69.624,87.33,1,0,504.0,0.053
1999-12-11 11:36:34.140,-54.57,-58.215,532.527,2.222,0.272,8.161,63.937,63.937,111.421,0,0,118.0,0.028
2000-01-13 05:51:13.400,-31.109,-48.057,599.376,2.006,0.217,3.027,65.209,65.209,67.79,1,100,3776.0,0.038
2000-01-13 05:51:51.060,-30.539,-45.771,601.478,1.927,0.212,3.083,65.468,65.468,138.911,1,100,1824.0,0.043
2000-01-17 01:21:33.520,31.911,-35.316,625.803,2.072,0.232,2.377,66.734,66.734,101.017,1,100,528.0,0.035
2000-04-07 03:35:39.360,21.567,-23.126,586.573,1.57,0.228,4.625,66.268,66.268,88.738,1,0,312.0,0.078
2000-04-18 09:00:28.460,-72.971,-57.504,527.95,2.094,0.293,4.363,63.405,63.405,87.536,0,0,880.0,0.033
2000-04-27 07:44:24.520,-72.921,-56.343,522.149,2.024,0.288,3.12,63.603,63.603,89.44,0,0,344.0,0.037
