t,dt
2000-01-23 03:47:56.320,"[0.34, 0.34, 0.34]"
2000-01-28 08:18:18.340,"[0.34, 0.3, 0.26]"
2000-03-05 03:59:31.760,"[0.24, 0.24, 0.28]"
2000-04-10 03:53:17.220,"[0.52, 0.54, 0.5]"
2000-05-01 07:24:16.280,"[0.22, 0.2, 0.22]"
2000-05-26 03:09:47.720,"[0.72, 0.72, 0.74]"
2000-06-10 10:54:58.460,"[0.38, 0.36, 0.34]"
2000-06-10 22:47:03.220,"[0.68, 0.66, 0.68]"
2000-06-11 00:23:20.820,"[0.62, 0.62, 0.66]"
2000-06-29 01:49:28.960,"[0.42, 0.4, 0.44]"
2000-08-05 23:55:35.260,"[0.38, 0.38, 0.38]"
2000-08-31 23:21:02.960,"[0.38, 0.4, 0.36]"
2000-09-15 04:09:41.020,"[0.2, 0.22, 0.2]"
2000-09-27 01:07:18.040,"[0.44, 0.4, 0.36]"
2000-10-04 15:02:31.180,"[0.4, 0.42, 0.38]"
2000-10-05 11:52:43.200,"[0.4, 0.42, 0.42]"
2000-10-14 15:32:38.320,"[0.24, 0.24, 0.26]"
2000-10-14 15:33:51.580,"[0.28, 0.26, 0.26]"
2000-10-21 05:57:24.820,"[0.28, 0.28, 0.28]"
2000-10-22 19:47:46.040,"[0.18, 0.2, 0.18]"
2000-10-29 05:59:28.440,"[0.32, 0.34, 0.3]"
2000-11-06 10:40:02.900,"[0.32, 0.3, 0.3]"
2000-11-07 04:17:46.740,"[0.36, 0.32, 0.32]"
2000-11-12 10:45:17.900,"[0.54, 0.54, 0.56]"
2001-03-20 02:41:25.160,"[0.6, 0.64, 0.6]"
2001-03-29 02:49:51.740,"[0.56, 0.54, 0.54]"
2001-04-07 05:38:19.980,"[0.28, 0.28, 0.32]"
2001-04-07 08:16:58.000,"[0.12, 0.1, 0.08]"
2001-04-08 02:22:04.920,"[0.32, 0.28, 0.28]"
2001-04-09 09:45:45.740,"[0.36, 0.38, 0.4]"
2001-04-11 00:27:04.540,"[0.2, 0.2, 0.16]"
2001-04-11 00:27:58.000,"[0.24, 0.26, 0.24, 0.22, 0.24]"
2001-04-12 10:09:29.340,"[0.52, 0.48, 0.46]"
2001-04-13 10:09:23.420,"[0.38, 0.34, 0.38]"
