t,per,tb,L,MLT,lat,lon,eye
2000-01-23 03:47:56.320,0.34,0.6198,4.506,4.551,62.445,5.082,1
2000-01-29 07:20:13.460,0.3267,0.5945,5.0,3.548,52.675,-65.816,1
2000-01-29 13:15:22.260,0.38,0.5333,4.442,2.823,-55.478,-178.475,2
2000-02-07 13:49:15.360,0.1933,0.7016,5.232,1.11,-52.462,155.848,2
2000-02-12 14:09:20.980,0.4667,0.4024,3.395,0.041,-43.818,143.458,2
2000-02-26 11:26:51.800,0.8133,0.7011,5.883,9.927,-72.023,10.512,1
2000-03-01 17:14:59.920,0.2267,0.7001,5.013,23.081,67.786,88.962,1
2000-03-05 03:59:31.760,0.23,0.7865,5.846,21.513,-72.946,-128.815,2
2000-03-07 11:22:32.360,0.0733,0.6533,5.328,8.972,56.92,-48.77,0
2000-04-09 14:29:12.920,0.2733,0.797,5.569,1.904,67.015,-170.639,2
2000-04-10 03:55:10.660,0.135,0.7904,5.383,3.568,-66.598,26.701,0
2000-05-05 12:16:41.760,0.128,0.689,5.065,22.593,67.816,168.454,2
2000-05-17 03:57:47.200,0.4133,0.5008,4.158,10.225,-45.953,101.575,2
2000-05-25 04:58:27.980,0.0733,0.7389,4.854,20.718,54.363,-113.187,0
2000-05-25 10:16:20.040,0.485,0.4814,3.968,0.404,-56.002,-168.789,1
2000-05-25 10:16:32.780,0.23,0.5066,4.116,0.472,-56.721,-168.487,2
2000-05-30 07:25:29.660,0.3533,0.7826,5.815,5.467,-73.751,1.184,0
2000-06-01 07:27:27.500,0.28,0.8127,6.308,4.711,-77.878,-16.221,0
2000-06-01 07:29:38.680,0.2733,0.623,5.155,5.648,-71.218,0.703,2
2000-06-08 04:31:52.800,0.5533,0.633,5.141,5.35,-61.186,41.08,2
2000-06-10 10:54:58.460,0.36,0.6202,4.892,6.15,-75.957,-79.751,1
2000-06-10 22:47:03.220,0.6733,0.5727,4.676,9.056,67.336,157.582,1
2000-06-11 00:23:20.820,0.6333,0.5768,4.715,9.34,67.778,133.869,1
2000-06-26 21:03:47.620,0.1733,0.5115,4.22,5.36,-45.971,121.419,2
2000-06-29 01:49:28.960,0.42,0.8545,5.731,2.123,-65.353,35.571,1
2000-07-20 07:02:35.440,0.2667,0.4938,4.001,1.765,-71.869,-94.257,2
2000-07-31 08:51:27.940,0.235,0.5584,4.523,1.478,-66.619,-137.475,2
2000-08-11 02:34:45.260,0.1733,0.5135,4.004,22.195,-73.094,-74.394,0
2000-09-15 04:09:41.020,0.2067,0.1821,1.907,6.52,-32.218,43.878,2
2000-09-17 22:57:45.100,0.2133,0.3896,3.326,5.486,60.84,95.602,2
2000-09-27 01:07:18.040,0.335,0.5886,4.826,4.47,-52.746,70.887,1
2000-10-04 18:43:30.420,0.205,0.4887,3.974,5.523,-47.241,148.918,0
2000-10-05 11:52:43.200,0.4133,0.4022,3.369,2.671,51.373,-129.552,1
2000-10-14 10:51:27.920,0.0733,0.5437,4.29,6.158,-72.793,-93.837,0
2000-10-14 15:33:51.580,0.245,0.5158,4.121,5.09,-53.477,178.319,2
2000-10-29 05:59:28.440,0.32,0.4369,3.696,2.617,-71.192,-54.053,1
2000-11-07 04:17:46.740,0.3333,0.4574,3.766,1.066,-71.342,-46.778,2
2000-11-07 04:18:19.380,0.24,0.5371,4.126,1.169,-73.008,-43.967,0
2000-11-08 13:14:27.460,0.0867,0.6176,4.736,22.102,67.558,129.744,0
2000-11-12 10:45:17.900,0.5467,0.5223,4.441,8.33,-73.318,-29.49,1
2001-01-23 15:25:35.280,0.1067,0.6969,5.17,0.295,-49.299,131.189,0
2001-03-20 02:41:25.160,0.6133,0.9057,5.289,4.439,65.921,18.523,1
2001-03-24 06:18:44.180,0.26,0.6192,4.684,4.459,-69.988,-1.507,2
2001-03-29 02:17:09.580,0.22,0.6287,4.941,3.442,64.18,7.574,2
2001-03-29 02:49:51.740,0.5467,0.4717,4.033,3.139,-58.205,30.639,1
2001-03-31 00:35:41.620,0.0667,0.5561,4.437,2.938,63.936,29.155,0
2001-04-05 12:08:53.700,0.2867,0.6611,5.214,6.769,-75.236,-104.255,2
2001-04-07 05:38:19.980,0.2933,0.5258,4.356,3.127,-71.156,-18.532,2
2001-04-07 08:16:58.000,0.1,0.5977,4.862,1.683,51.498,-94.454,2
2001-04-08 20:56:22.320,0.22,0.6243,4.589,1.505,65.757,64.194,2
2001-04-09 09:45:45.740,0.38,0.5266,4.375,0.656,54.526,-122.142,2
2001-04-11 00:27:04.540,0.1867,0.1696,1.816,2.02,-30.204,30.951,1
2001-04-11 00:27:58.000,0.24,0.19,1.964,1.971,-33.567,31.411,1
2001-04-14 13:12:27.060,0.2533,0.5842,4.688,4.623,-62.238,-156.394,2
2001-05-13 05:20:42.400,0.1267,0.7664,5.882,6.626,-61.79,50.346,0
2001-06-10 06:35:47.000,0.5267,0.581,4.689,3.066,-75.574,-45.222,2
2001-06-11 03:20:59.420,0.3867,0.7617,5.86,1.82,-73.361,7.065,2
2001-06-27 03:49:15.420,0.3733,0.5426,4.468,0.758,-73.872,-34.19,1
2001-07-10 18:56:04.540,0.2933,1.1577,5.632,23.959,-51.715,90.714,2
2001-08-31 09:01:41.460,0.15,0.5473,4.325,19.227,65.957,162.664,0
2001-09-29 18:26:05.600,0.3867,0.6324,4.983,3.613,-48.873,131.283,1
2001-09-30 19:25:29.700,0.42,0.5067,3.988,1.498,63.767,87.292,2
2001-10-05 17:19:57.160,0.155,1.0284,5.833,0.355,70.163,101.852,0
2001-10-22 17:16:25.860,0.2133,0.3645,3.092,22.73,58.81,77.561,2
2001-11-07 04:53:53.500,0.24,0.5154,3.943,0.345,-72.029,-87.947,2
2001-11-19 09:43:17.400,0.0733,0.6601,5.04,21.889,-52.572,158.587,0
2002-01-11 09:51:23.420,0.34,0.5668,4.491,0.269,56.846,-131.35,1
2002-02-07 06:41:51.480,0.11,0.7805,5.613,21.364,-62.038,-168.765,0
2002-03-24 03:26:11.000,0.7067,0.636,4.534,1.884,-67.577,3.732,2
2002-04-18 03:20:46.540,0.26,0.4499,3.694,0.018,-70.536,-43.196,1
