date,time,per,lat,long,alt,L,MLT, maglat,count,SAA,assoc
5/11/1998,10:23:51,0.247,-56.096,274.451,692.993,2.0856,5.1343,-41.6427,528,0,
11/12/1998,6:58:26,0.22,-52.899,306.591,561.848,1.9371,3.612,-37.6408,528,1,
1/16/1999,8:37:04,0.205,-52.7202,306.604,533.002,1.9243,4.9179,-37.495,1312,1,
8/30/1999,20:50:08,0.245,-34.9623,25.0628,523.74,2.0311,21.9575,-38.488,148,1,
9/29/1999,21:47:54,0.22,-54.3508,303.193,616.337,2.006,18.0033,-38.9288,592,1,
10/11/1999,11:17:30,0.247,-54.7461,280.846,575.224,1.9532,6.7377,-39.5288,440,0,
10/21/1999,8:56:29,0.247,-55.333,296.079,618.829,2.0168,5.1206,-39.5689,912,0,1
11/8/1999,23:13:00,0.295,-38.2093,38.2589,658.065,2.26,1.0151,-42.3319,126,1,
7/18/2000,0:46:27,0.22,-33.7549,25.3747,510.447,1.9681,1.9366,-37.514,912,1,
7/27/2000,7:38:37,0.28,34.354,274.599,588.768,2.268,1.8211,46.5104,1008,0,1
8/26/2000,2:50:34,0.2,-50.526,269.356,617.582,1.793,21.4373,-36.8116,74,0,1
8/26/2000,7:13:51,0.24,-34.9511,39.2831,515.226,2.037,9.0706,-39.6727,1760,1,
9/15/2000,4:09:40,0.235,-32.218,43.878,573.818,1.9072,6.5199,-37.7939,172,1,
10/21/2000,5:57:24,0.27,-55.0355,309.527,629.656,2.1046,2.6097,-40.2387,4480,1,
12/8/2000,17:54:39,0.202,-31.8659,23.5069,505.353,1.8861,18.9602,-36.0363,1248,1,
4/11/2001,0:27:04,0.196,-30.5781,30.9999,529.707,1.8313,2.0147,-35.3676,1568,1,1
4/11/2001,0:27:58,0.234,-33.5666,31.4112,533.87,1.9638,1.9713,-37.7356,2368,1,1
4/12/2001,0:24:33,0.233,-32.9045,30.0595,536.152,1.9338,1.8572,-37.1213,3264,1,
8/30/2001,4:59:17,0.267,-36.4692,32.6808,626.121,2.1352,6.4286,-40.2224,132,1,
11/10/2001,1:16:01,0.237,-52.8307,304.863,542.323,1.9282,21.45,-37.5671,1248,1,
5/23/2002,4:09:34,0.206,-32.0257,21.8022,543.872,1.8988,5.1192,-36.0173,1312,1,
10/18/2002,1:45:53,0.234,-52.8765,305.751,578.929,1.9536,22.0488,-37.8167,2368,1,
10/18/2002,6:55:42,0.207,-32.6296,31.2671,550.456,1.9277,8.7533,-37.0333,440,1,
11/19/2002,7:37:49,0.18,-50.032,309.136,483.411,1.8262,4.3803,-35.2833,1504,1,
1/30/2003,16:42:01,0.218,-32.4502,26.4268,545.122,1.9137,17.6596,-36.4853,1440,1,1
5/21/2003,13:29:07,0.22,-33.3623,33.3016,550.217,1.9593,14.8924,-37.7295,172,1,
6/8/2003,22:02:22,0.244,-37.1506,34.5239,478.76,2.1442,23.9011,-40.9472,188,1,
6/15/2003,21:13:24,0.22,-35.0044,32.6543,466.142,2.0238,23.0157,-39.0068,196,1,1
10/4/2003,5:39:19,0.26,-38.1621,33.9369,462.376,2.1968,7.341,-41.6865,140,1,
10/16/2003,9:04:34,0.22,-53.0078,312.535,471.369,1.9984,5.872,-38.7174,1184,1,
11/8/2003,0:40:13,0.212,-33.238,36.7575,527.693,1.9469,2.5365,-37.9052,816,1,1
11/8/2003,0:40:19,0.2,-32.8657,36.8105,527.803,1.9293,2.5523,-37.6081,592,1,1
11/27/2003,21:51:42,0.227,-35.6082,36.6159,549.697,2.0736,23.5411,-39.8631,1248,1,
12/18/2003,18:30:24,0.204,-31.6456,43.9387,507.935,1.8611,20.7543,-37.2439,3648,1,
1/27/2004,10:17:56,0.273,-57.8663,282.37,482.98,2.1151,5.5782,-42.5407,3520,0,
11/14/2004,6:26:26,0.237,33.9182,257.852,447.258,2.0278,23.8543,44.063,1760,0,1
12/17/2004,5:00:18,0.19,-31.4123,29.388,456.079,1.8526,6.4845,-35.8577,2112,1,
2/16/2005,7:31:35,0.25,-36.0195,31.3292,476.834,2.0788,8.7951,-39.6999,392,1,1
2/16/2005,7:32:14,0.204,-33.7565,31.6772,474.357,1.9624,8.8965,-37.8825,848,1,1
3/8/2005,6:09:06,0.155,-25.8027,11.9172,444.533,1.641,6.3583,-31.0546,1120,1,
6/18/2005,10:58:15,0.252,-58.1294,281.584,497.44,2.1403,5.8651,-42.8821,344,0,1
6/19/2005,13:59:04,0.26,-38.0892,33.7291,448.09,2.1904,15.1694,-41.6077,504,1,
9/12/2005,2:35:43,0.276,-42.2248,24.9116,478.021,2.4112,3.4194,-43.7636,624,1,
10/8/2005,22:47:27,0.215,-35.3798,26.9233,447.148,2.0341,0.038,-38.7689,656,1,1
10/8/2005,22:47:37,0.211,-34.6194,27.0402,447.026,1.9986,0.0716,-38.2134,752,1,1
