,t,pk,w,s,y,sh
0,1998-05-11 10:23:51,"[1, 2, 3, 4, 5, 6, 7, 8]","[0.1037, 0.0471, 0.0353, 0.0361, 0.05, 0.1027, 0.1356, 0.1121]","[0.241121, 0.253768, 0.249176, 0.241961, 0.252269, 0.223269, 0.255801, None]",1,"crown"
1,1998-11-12 06:58:26,"[1, 2, 3, 4, 5, 6, 7, 8]","[0.0631, 0.0573, 0.0499, 0.0409, 0.0442, 0.0576, 0.076, 0.1164]","[0.231073, 0.231851, 0.217305, 0.222488, 0.221023, 0.21784, 0.217368, None]",1,"crown"
2,1999-01-16 08:37:04,"[1, 2, 3, 4, 5]","[0.0576, 0.0603, 0.0551, 0.0805, 0.0918]","[0.198589, 0.20438, 0.219903, 0.200108, None]",1,"crown"
3,1999-08-30 20:50:08,"[1, 2, 3, 4, 5]","[0.0551, 0.0567, 0.038, 0.0353, 0.0757]","[0.252191, 0.24078, 0.243076, 0.25046, None]",1,"crown"
4,1999-09-29 21:47:54,"[2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.0601, 0.0409, 0.0358, 0.0353, 0.0425, 0.0468, 0.0561, 0.0803, 0.0945]","[0.2253, 0.22624, 0.225261, 0.222067, 0.216481, 0.216205, 0.221061, 0.216441, None]",1,"crown"
5,1999-10-11 11:17:32,"[5, 6, 7, 8, 9]","[0.0525, 0.0403, 0.0375, 0.0596, 0.0377]","[0.235536, 0.241045, 0.233339, 0.223111, None]",0,"crown"
6,1999-10-21 08:56:29,"[1, 2, 3, 4]","[0.0401, 0.036, 0.0353, 0.0412]","[0.254358, 0.244014, 0.242008, None]",1,"crown"
7,1999-11-08 23:13:00,"[3, 4, 5, 6]","[0.07, 0.0521, 0.0607, 0.0353]","[0.303233, 0.293683, 0.303051, None]",0,"unclear"
8,2000-07-18 00:46:27,"[2, 3, 4, 5, 6, 7, 8]","[0.0828, 0.0603, 0.0461, 0.0547, 0.0434, 0.064, 0.0353]","[0.221381, 0.227714, 0.211523, 0.213789, 0.207063, 0.209749, None]",1,"unclear"
9,2000-08-26 07:13:51,"[1, 2, 3, 4]","[0.0523, 0.054, 0.0534, 0.0353]","[0.2521, 0.231469, 0.243099, None]",0,"crown"
10,2000-09-15 04:09:40,"[1, 2, 3, 4, 5]","[0.0428, 0.0353, 0.0395, 0.0353, 0.0353]","[0.209049, 0.209149, 0.211162, 0.21983, None]",1,"flat"
11,2000-10-21 05:57:24,"[1, 2, 3, 4]","[0.0712, 0.1168, 0.0878, 0.0693]","[0.268588, 0.277694, 0.280365, None]",1,"unclear"
12,2000-12-08 17:54:39,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[0.0815, 0.0665, 0.0501, 0.0648, 0.0462, 0.0462, 0.0423, 0.0441, 0.0638, 0.0797, 0.1039, 0.086]","[0.205802, 0.208822, 0.200786, 0.204626, 0.203555, 0.203965, 0.199858, 0.196512, 0.194525, 0.193029, 0.204158, None]",1,"crown"
13,2001-04-11 00:27:04,"[1, 2]","[0.0768, 0.0705]","[0.215312, None]",0,"decr"
14,2001-04-11 00:27:58,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.0884, 0.0597, 0.062, 0.0639, 0.0656, 0.0972, 0.0733, 0.0775, 0.0709]","[0.236465, 0.247244, 0.238526, 0.23119, 0.226497, 0.227937, 0.222974, 0.223387, None]",1,"decr"
15,2001-04-12 00:24:33,"[1, 2, 3, 4, 5, 6]","[0.0798, 0.1235, 0.0898, 0.0931, 0.0911, 0.1038]","[0.210307, 0.235725, 0.233437, 0.237928, 0.224673, 0.236392]",1,"unclear"
