,t,per,tb,L,MLT,lat,lon,shapes,final_eye
0,2000-01-14 01:01:32.620,0.2067,0.6952,5.376,0.532,-65.399,30.39,,2.0
1,2000-01-23 03:47:56.320,0.34,0.6198,4.506,4.551,62.445,5.082,decr,1.5
2,2000-01-28 08:18:18.340,0.3,0.5491,4.561,2.452,-71.17,-114.904,half,1.5
3,2000-01-28 13:10:46.640,0.2067,0.6378,5.096,3.072,-58.219,-176.674,,2.5
4,2000-01-29 07:20:13.460,0.3267,0.5945,5.0,3.548,52.675,-65.816,,2.0
5,2000-01-29 13:15:22.260,0.38,0.5333,4.442,2.823,-55.478,-178.475,,2.0
6,2000-01-29 13:15:28.560,0.3867,0.5177,4.348,2.813,-55.122,-178.336,,2.5
7,2000-02-07 13:49:15.360,0.1933,0.7016,5.232,1.11,-52.462,155.848,,2.5
8,2000-02-12 14:09:20.980,0.4667,0.4024,3.395,0.041,-43.818,143.458,,2.5
9,2000-02-14 14:16:02.680,0.2933,0.4348,3.672,23.623,-44.593,137.44,,2.0
10,2000-02-26 11:26:51.800,0.8133,0.7011,5.883,9.927,-72.023,10.512,,2.0
11,2000-03-01 17:14:59.920,0.2267,0.7001,5.013,23.081,67.786,88.962,,2.0
12,2000-03-05 03:59:31.760,0.23,0.7865,5.846,21.513,-72.946,-128.815,crown,1.5
13,2000-03-07 11:22:32.360,0.0733,0.6533,5.328,8.972,56.92,-48.77,,2.5
14,2000-03-31 14:07:38.840,0.165,0.5976,4.649,3.523,59.25,-140.794,,3.0
15,2000-04-09 14:29:12.920,0.2733,0.797,5.569,1.904,67.015,-170.639,,2.0
16,2000-04-10 03:53:17.220,0.41,0.472,3.972,3.718,-59.783,21.961,other,1.5
17,2000-04-10 03:55:10.660,0.135,0.7904,5.383,3.568,-66.598,26.701,,3.0
18,2000-04-12 05:01:56.940,0.12,0.5977,4.837,4.137,59.221,-28.209,,2.5
19,2000-05-01 07:24:16.280,0.2133,0.5629,4.71,0.367,51.366,-99.346,half,1.5
20,2000-05-05 12:16:41.760,0.128,0.689,5.065,22.593,67.816,168.454,,2.0
21,2000-05-17 03:57:47.200,0.4133,0.5008,4.158,10.225,-45.953,101.575,,2.5
22,2000-05-25 04:58:27.980,0.0733,0.7389,4.854,20.718,54.363,-113.187,,3.0
23,2000-05-25 10:16:20.040,0.485,0.4814,3.968,0.404,-56.002,-168.789,,2.0
24,2000-05-25 10:16:32.780,0.23,0.5066,4.116,0.472,-56.721,-168.487,,2.0
25,2000-05-26 03:09:47.720,0.575,0.6521,5.063,11.53,68.658,125.891,decr,1.0
26,2000-05-30 07:25:29.660,0.3533,0.7826,5.815,5.467,-73.751,1.184,,2.5
27,2000-06-01 07:27:27.500,0.28,0.8127,6.308,4.711,-77.878,-16.221,,3.0
28,2000-06-01 07:29:38.680,0.2733,0.623,5.155,5.648,-71.218,0.703,,2.0
29,2000-06-08 04:31:52.800,0.5533,0.633,5.141,5.35,-61.186,41.08,,2.0
30,2000-06-10 10:54:58.460,0.36,0.6202,4.892,6.15,-75.957,-79.751,decr,1.0
31,2000-06-10 22:47:03.220,0.6733,0.5727,4.676,9.056,67.336,157.582,decr,1.5
32,2000-06-11 00:23:20.820,0.6333,0.5768,4.715,9.34,67.778,133.869,decr,1.0
33,2000-06-11 04:36:33.420,0.5867,0.5725,4.725,5.027,-61.111,33.775,,2.5
34,2000-06-11 14:09:37.280,0.2933,0.7547,5.686,7.873,-73.337,-124.201,,2.5
35,2000-06-26 14:34:10.700,0.255,0.669,5.066,6.426,-65.197,-150.37,,3.0
36,2000-06-26 21:03:47.620,0.1733,0.5115,4.22,5.36,-45.971,121.419,,2.0
37,2000-06-27 01:48:24.300,0.195,0.6697,4.845,3.03,-59.234,44.32,,3.0
38,2000-06-27 08:08:09.100,0.3067,0.5638,4.54,3.683,-75.163,-70.464,,2.0
39,2000-06-27 22:27:01.560,0.155,0.819,5.542,19.623,-77.262,-32.448,,3.0
40,2000-06-29 01:49:28.960,0.42,0.8545,5.731,2.123,-65.353,35.571,crown,1.5
41,2000-07-20 07:02:35.440,0.2667,0.4938,4.001,1.765,-71.869,-94.257,,2.5
42,2000-07-22 10:19:21.980,0.164,0.472,3.936,2.612,-63.693,-138.495,,3.0
43,2000-07-26 14:09:51.400,0.275,0.5284,4.247,1.557,63.05,-170.706,,2.5
44,2000-07-31 08:51:27.940,0.235,0.5584,4.523,1.478,-66.619,-137.475,,2.0
45,2000-08-02 05:39:00.060,0.21,0.6505,4.849,0.214,-74.171,-104.495,,3.0
46,2000-08-04 17:31:42.860,0.14,0.5481,4.408,1.572,66.364,122.865,,3.0
47,2000-08-05 07:18:17.560,0.32,0.8459,5.688,0.705,-72.143,-131.58,,2.5
48,2000-08-05 23:55:35.260,0.38,0.4943,4.12,1.886,62.059,20.759,crown,1.5
49,2000-08-06 03:06:34.640,0.13,0.572,4.576,2.079,58.188,-29.64,,3.0
50,2000-08-06 03:06:46.360,0.25,0.5911,4.671,2.102,58.542,-29.471,,3.0
51,2000-08-11 02:34:45.260,0.1733,0.5135,4.004,22.195,-73.094,-74.394,,3.0
52,2000-08-11 19:27:51.140,0.26,0.6437,4.941,9.501,58.918,-134.37,,3.0
53,2000-08-23 12:26:04.740,0.0733,0.5581,4.517,21.285,-47.447,131.909,,3.0
54,2000-08-30 23:33:04.340,0.2,0.7247,5.59,19.111,-77.953,-84.371,,3.0
55,2000-08-31 10:39:02.440,0.305,0.6772,5.579,8.703,-73.302,0.781,,2.0
56,2000-08-31 23:21:02.960,0.38,0.6041,5.034,10.325,-51.197,150.451,other,1.5
57,2000-09-15 04:09:41.020,0.2067,0.1821,1.907,6.52,-32.218,43.878,other,1.0
58,2000-09-17 22:57:45.100,0.2133,0.3896,3.326,5.486,60.84,95.602,,2.0
59,2000-09-27 01:07:18.040,0.335,0.5886,4.826,4.47,-52.746,70.887,decr,1.5
