,t,per,tb,L,MLT,lat,lon,shapes,final_eye,pl1,dt,T05,OP,SL,T89,OM
0,2000-01-23 03:47:56.320,0.34,0.6198,4.506,4.551,62.445,5.082,decr,1.5,0.5712257843137255,"[0.34, 0.34, 0.34]",0.6197167373697432,0.5312654923977428,0.5271547348727178,0.5277461549584783,0.5863401972236201
1,2000-01-28 08:18:18.340,0.3,0.5491,4.561,2.452,-71.17,-114.904,half,1.5,0.6828291617647056,"[0.34, 0.3, 0.26]",0.5491413184892827,0.5457134259772544,0.5447032465425917,0.5409285010387341,0.559468017954
2,2000-03-05 03:59:31.760,0.23,0.7865,5.846,21.513,-72.946,-128.815,crown,1.5,1.0,"[0.24, 0.24, 0.28]",0.7863842896660325,0.7743853413324943,0.7662693323073355,0.7481061292083748,0.7240578457200508
3,2000-04-10 03:53:17.220,0.41,0.472,3.972,3.718,-59.783,21.961,other,1.5,0.2836044999999997,"[0.52, 0.54, 0.5]",0.4719428652869972,0.4522986777868236,0.4504842307676481,0.451831622834014,0.4655293431567774
4,2000-05-01 07:24:16.280,0.2133,0.5629,4.71,0.367,51.366,-99.346,half,1.5,0.902313225490196,"[0.22, 0.2, 0.22]",0.5628757851836447,0.5538380250719592,0.5533380934334945,0.5489350152553982,0.5546036130778185
5,2000-05-26 03:09:47.720,0.575,0.6521,5.063,11.53,68.658,125.891,decr,1.0,0.6794670784313727,"[0.72, 0.72, 0.74]",0.6520329583563207,0.5988122905099228,0.5969716318347639,0.5934716070227395,0.6261379950712624
6,2000-06-10 10:54:58.460,0.36,0.6202,4.892,6.15,-75.957,-79.751,decr,1.0,1.0,"[0.38, 0.36, 0.34]",0.6201491499555577,0.5861648642949011,0.5839291748968612,0.579125801558193,0.6127279787586233
7,2000-06-10 22:47:03.220,0.6733,0.5727,4.676,9.056,67.336,157.582,decr,1.5,0.7549739901960786,"[0.68, 0.66, 0.68]",0.5726819994639507,0.5480086850201361,0.5463789394263481,0.5459209329739831,0.5624275717527472
8,2000-06-11 00:23:20.820,0.6333,0.5768,4.715,9.34,67.778,133.869,decr,1.0,0.762026911764706,"[0.62, 0.62, 0.66]",0.5767814428868971,0.5549136892879993,0.5546137060739286,0.5521155517067999,0.5656668358651132
9,2000-06-29 01:49:28.960,0.42,0.8545,5.731,2.123,-65.353,35.571,crown,1.5,0.5001049803921572,"[0.42, 0.4, 0.44]",0.8542761421627768,0.7320885433291178,0.7214493300554735,0.7104946280937396,0.7315396712902673
10,2000-08-05 23:55:35.260,0.38,0.4943,4.12,1.886,62.059,20.759,crown,1.5,1.0,"[0.38, 0.38, 0.38]",0.4943267374219621,0.4798695147153784,0.4772209681304007,0.4780712525307298,0.4866309591948115
11,2000-08-31 23:21:02.960,0.38,0.6041,5.034,10.325,-51.197,150.451,other,1.5,0.958739117647059,"[0.38, 0.4, 0.36]",0.6041996022193923,0.5857234768680513,0.5836386082713033,0.5813051560743515,0.5934402746410115
12,2000-09-15 04:09:41.020,0.2067,0.1821,1.907,6.52,-32.218,43.878,other,1.0,0.2907264117647058,"[0.2, 0.22, 0.2]",0.1821553090309954,0.1819022135058092,0.1941178872999155,0.1822199853482994,0.1821856973951782
13,2000-09-27 01:07:18.040,0.335,0.5886,4.826,4.47,-52.746,70.887,decr,1.5,1.0,"[0.44, 0.4, 0.36]",0.5887009542675962,0.5760869157217872,0.5740324620739896,0.5703265975917964,0.5947626970033144
14,2000-10-04 15:02:31.180,0.4,0.3606,3.154,2.656,59.025,-178.772,other,1.5,0.9522261029411764,"[0.4, 0.42, 0.38]",0.3606098521268989,0.3476304547036216,0.3488830162299153,0.3487363884778942,0.3573184965647306
15,2000-10-05 11:52:43.200,0.4133,0.4022,3.369,2.671,51.373,-129.552,decr,1.0,0.8573873039215687,"[0.4, 0.42, 0.42]",0.4022739490660824,0.3697554065678247,0.3726290069654525,0.3725685716849006,0.3885615349922624
16,2000-10-14 15:32:38.320,0.2467,0.3818,3.328,4.757,-49.187,176.978,other,1.5,1.0,"[0.24, 0.24, 0.26]",0.3817898600418293,0.3687980309711629,0.3713212176386182,0.3695521886709634,0.3814322489642232
